system_name,task,env_name,run_id,episode_return,win_rate,time_series_total,ppo_epochs,max_grad_norm,ent_coef,critic_lr,num_minibatches,clip_eps,actor_lr,recurrent_chunk_size,num_envs,num_updates,num_evaluation
rec_ppo_central_factored,3s5z_vs_3s6z,smax,CEN-37211,1.620985507965088,,124.88270136713982,8,5.0,1e-05,0.0005,8,0.05,0.0001,32.0,64,1220,122
rec_ppo_central_factored,10m_vs_11m,smax,CEN-36793,1.2090909481048584,,136.08466517925262,8,10.0,0.01,0.0001,2,0.1,0.00025,8.0,64,1220,122
rec_ppo_central_factored,3s5z,smax,CEN-36804,2.0,,194.6558719277382,8,5.0,1e-05,0.00025,8,0.05,0.0001,32.0,64,1220,122
rec_ppo_central_factored,3s_vs_5z,smax,CEN-37080,1.965749740600586,,204.4786837399006,4,0.5,0.01,0.0005,8,0.2,0.00025,64.0,64,1220,122
rec_ppo_central_factored,5m_vs_6m,smax,CEN-36990,0.814583420753479,,90.48022031784058,8,5.0,0.01,0.0005,4,0.1,0.00025,8.0,64,1220,122
rec_ppo_central_factored,2s3z,smax,CEN-36989,2.0,,225.60200810432434,4,5.0,0.0,0.0005,4,0.2,0.0005,16.0,64,1220,122
rec_ppo_central_factored,15x15-4p-5f,lbf,CEN-36903,0.9044296741485596,,92.92079366743565,2,0.5,0.0,0.00025,4,0.1,0.0005,128.0,64,1220,122
rec_ppo_central_factored,15x15-4p-3f,lbf,CEN-36643,1.0,,113.70884411036968,8,0.5,0.0,0.0005,4,0.1,0.0001,128.0,64,1220,122
rec_ppo_central_factored,8x8-2p-2f-coop,lbf,CEN-36753,1.0,,119.359375,4,10.0,0.0,0.00025,4,0.1,0.0005,128.0,64,1220,122
rec_ppo_central_factored,2s-10x10-3p-3f,lbf,CEN-36557,1.0,,116.29973554611206,8,10.0,0.0,0.00025,2,0.2,0.0005,128.0,64,1220,122
rec_ppo_central_factored,10x10-3p-3f,lbf,CEN-36764,1.0,,116.96698835492134,4,10.0,0.0,0.0005,4,0.1,0.00025,128.0,64,1220,122
rec_ppo_central_factored,15x15-3p-5f,lbf,CEN-36700,0.9477564692497253,,87.5442069992423,4,0.5,0.01,0.0005,4,0.2,0.0005,64.0,64,1220,122
rec_ppo_central_factored,2s-8x8-2p-2f-coop,lbf,CEN-36704,1.0,,119.984375,4,5.0,0.0,0.0005,8,0.1,0.0005,64.0,64,1220,122
